# Residuals   
# Time        	p             	Ux            	Uy            	Uz            	h             
1             	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
2             	9.999662e-01	2.028275e-01	6.804151e-02	2.074834e-01	2.212991e-01
3             	9.599505e-01	1.446977e-01	4.122399e-02	1.460150e-01	1.100218e-01
4             	9.022635e-01	1.006316e-01	2.556855e-02	1.054487e-01	6.709529e-02
5             	8.352094e-01	7.519974e-02	1.667450e-02	7.689877e-02	4.569051e-02
6             	8.021411e-01	5.872701e-02	1.238736e-02	5.968230e-02	3.332869e-02
7             	8.059819e-01	4.810461e-02	1.003012e-02	4.867884e-02	2.553074e-02
8             	8.302994e-01	4.079673e-02	8.432181e-03	4.129746e-02	2.034164e-02
9             	8.628898e-01	3.573119e-02	7.278989e-03	3.628590e-02	1.673045e-02
10            	8.886259e-01	3.236544e-02	6.478290e-03	3.295788e-02	1.412578e-02
11            	9.084559e-01	3.071565e-02	6.010347e-03	3.130128e-02	1.222829e-02
12            	9.243372e-01	3.049073e-02	5.800957e-03	3.110195e-02	1.080278e-02
13            	9.360979e-01	3.090416e-02	5.686960e-03	3.157424e-02	9.706089e-03
14            	9.427302e-01	3.141447e-02	5.574346e-03	3.212729e-02	8.847530e-03
15            	9.450910e-01	3.182440e-02	5.439115e-03	3.254747e-02	8.164517e-03
16            	9.456456e-01	3.208428e-02	5.287914e-03	3.279729e-02	7.612041e-03
17            	9.464908e-01	3.219171e-02	5.129754e-03	3.286916e-02	7.156382e-03
18            	9.466320e-01	3.216812e-02	4.970563e-03	3.281188e-02	6.774047e-03
19            	9.462873e-01	3.204443e-02	4.813642e-03	3.265660e-02	6.448374e-03
20            	9.456428e-01	3.186702e-02	4.664589e-03	3.243843e-02	6.167498e-03
21            	9.446014e-01	3.166170e-02	4.525168e-03	3.217189e-02	5.922209e-03
22            	9.433484e-01	3.142742e-02	4.396228e-03	3.186518e-02	5.705192e-03
23            	9.419326e-01	3.116193e-02	4.277383e-03	3.153685e-02	5.511374e-03
24            	9.402549e-01	3.086886e-02	4.169327e-03	3.119159e-02	5.336872e-03
25            	9.380582e-01	3.057631e-02	4.073260e-03	3.084269e-02	5.178449e-03
26            	9.353367e-01	3.031206e-02	3.990909e-03	3.050615e-02	5.033730e-03
27            	9.318539e-01	2.973018e-02	3.911120e-03	2.990319e-02	4.905246e-03
28            	9.263578e-01	2.941497e-02	3.868868e-03	2.955586e-02	4.780916e-03
29            	9.189774e-01	2.914299e-02	3.849997e-03	2.926817e-02	4.665677e-03
30            	9.110127e-01	2.887939e-02	3.841592e-03	2.897556e-02	4.558362e-03
31            	9.035842e-01	2.859490e-02	3.828047e-03	2.867963e-02	4.458042e-03
32            	8.971314e-01	2.832896e-02	3.803483e-03	2.839470e-02	4.363630e-03
33            	8.912812e-01	2.806430e-02	3.773062e-03	2.812918e-02	4.274320e-03
34            	8.855943e-01	2.779375e-02	3.741876e-03	2.785465e-02	4.189927e-03
35            	8.802129e-01	2.762632e-02	3.721867e-03	2.769591e-02	4.105927e-03
36            	8.593394e-01	2.728282e-02	3.684435e-03	2.740179e-02	4.029351e-03
37            	8.094802e-01	2.689484e-02	3.667209e-03	2.704036e-02	3.957215e-03
38            	7.574998e-01	2.665794e-02	3.680147e-03	2.689903e-02	3.891045e-03
39            	7.142622e-01	2.613366e-02	3.619485e-03	2.633983e-02	3.828527e-03
40            	6.846779e-01	2.552146e-02	3.526012e-03	2.567902e-02	3.767540e-03
41            	6.629479e-01	2.499495e-02	3.449342e-03	2.520392e-02	3.707089e-03
42            	6.461564e-01	2.445723e-02	3.381702e-03	2.479432e-02	3.648962e-03
43            	6.305769e-01	2.394250e-02	3.323725e-03	2.438253e-02	3.593303e-03
44            	6.131625e-01	2.351949e-02	3.283882e-03	2.398680e-02	3.539419e-03
45            	5.947449e-01	2.312056e-02	3.254266e-03	2.356701e-02	3.487414e-03
46            	5.758646e-01	2.260444e-02	3.228843e-03	2.303694e-02	3.438488e-03
47            	5.578928e-01	2.210452e-02	3.204990e-03	2.256371e-02	3.391268e-03
48            	5.408993e-01	2.159124e-02	3.178029e-03	2.210706e-02	3.347401e-03
49            	5.271623e-01	2.117544e-02	3.154383e-03	2.170770e-02	3.307705e-03
50            	5.229951e-01	2.084184e-02	3.128223e-03	2.133942e-02	3.276962e-03
51            	5.610596e-01	2.045638e-02	3.077291e-03	2.093632e-02	3.262680e-03
52            	7.621312e-01	2.039966e-02	3.013166e-03	2.079352e-02	3.355725e-03
53            	9.527073e-01	1.986558e-02	2.972386e-03	2.144280e-02	3.909084e-03
54            	9.867662e-01	1.848618e-02	2.963832e-03	1.595444e-02	1.025858e-02
55            	9.749232e-01	5.693786e-03	3.066844e-03	5.448964e-03	3.697837e-02
56            	9.435891e-01	3.848958e-03	3.182243e-03	3.136684e-03	4.865266e-02
57            	7.893410e-01	1.920611e-02	3.165763e-03	8.123991e-03	3.194413e-02
58            	7.725490e-01	4.027410e-03	2.827958e-03	2.298951e-02	3.639895e-02
59            	8.572867e-01	8.730107e-03	2.624233e-03	3.476240e-03	2.495699e-02
60            	8.248019e-01	4.948576e-03	2.648856e-03	5.170521e-03	2.665093e-02
61            	8.757349e-01	2.019433e-03	2.537298e-03	9.943416e-03	2.974225e-02
62            	8.652342e-01	4.149670e-03	2.124086e-03	3.742107e-03	2.559486e-02
63            	8.271450e-01	2.041064e-03	2.098701e-03	6.887156e-03	2.675454e-02
64            	8.650354e-01	2.455801e-03	1.969414e-03	6.244042e-03	2.628749e-02
65            	8.342183e-01	2.153156e-03	2.201599e-03	1.960498e-02	2.308854e-02
66            	8.648711e-01	2.440600e-03	2.311001e-03	5.117808e-03	2.413407e-02
67            	8.479525e-01	1.606947e-03	2.280456e-03	1.902013e-02	2.316742e-02
68            	8.728531e-01	2.366690e-03	2.267730e-03	3.725422e-03	2.336082e-02
69            	8.512836e-01	3.084895e-03	2.325897e-03	7.917122e-03	1.980248e-02
70            	8.677504e-01	1.969827e-03	2.609305e-03	9.390952e-03	2.220550e-02
71            	8.635987e-01	2.108442e-03	2.828335e-03	1.427424e-02	2.075755e-02
72            	8.721888e-01	3.232022e-03	2.533309e-03	1.266650e-02	2.035992e-02
73            	8.732197e-01	2.023455e-03	2.474218e-03	7.695478e-03	2.019494e-02
74            	8.865290e-01	2.783335e-03	2.385022e-03	2.010446e-02	1.907618e-02
75            	8.690997e-01	2.264060e-03	2.308170e-03	4.753192e-03	1.860689e-02
76            	8.750926e-01	3.340121e-03	2.359396e-03	1.701060e-02	1.873150e-02
77            	8.595165e-01	2.026893e-03	2.486786e-03	4.073699e-03	1.779017e-02
78            	8.688904e-01	3.590511e-03	2.448516e-03	7.003231e-03	1.750955e-02
79            	8.638893e-01	2.150611e-03	2.470878e-03	1.821494e-02	1.820917e-02
80            	8.723246e-01	3.820796e-03	2.453024e-03	9.218866e-03	1.685867e-02
81            	8.629913e-01	2.154319e-03	2.594218e-03	7.429145e-03	1.861554e-02
82            	8.593488e-01	2.869373e-03	2.656790e-03	4.501755e-03	1.711770e-02
