# Region      : all 
# Cells       : 564757
# Volume      : 3.323396e-06
# Time        	max(U)	max(p)
17            	(2.451467e-01 1.319978e-01 1.231608e+00)	2.000000e+07
34            	(6.091362e-02 2.506623e-01 1.228237e-01)	2.000000e+07
51            	(1.118431e+01 3.526551e+00 6.767096e+00)	2.000000e+07
68            	(1.555342e+00 1.540049e+01 1.922249e+01)	2.000000e+07
85            	(3.209304e+01 1.728525e+01 2.317056e+01)	2.000000e+07
102           	(1.985702e+00 1.632367e+01 1.533235e+01)	2.000000e+07
119           	(3.622524e+01 1.740552e+01 1.825957e+01)	2.000000e+07
136           	(1.791413e+00 1.644535e+01 1.251477e+01)	2.000000e+07
153           	(3.320862e+01 1.761025e+01 1.583731e+01)	2.000000e+07
170           	(1.690052e+00 1.683542e+01 1.119644e+01)	2.000000e+07
187           	(3.236280e+01 1.822298e+01 1.498941e+01)	2.000000e+07
204           	(1.680378e+00 1.745310e+01 1.075069e+01)	2.000000e+07
221           	(3.266794e+01 1.882432e+01 1.472834e+01)	2.000000e+07
