# Residuals   
# Time        	p             	Ux            	Uy            	Uz            	h             
1             	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
2             	1.000000e+00	1.162627e-01	2.971419e-03	1.900197e-01	1.540774e-01
3             	2.903166e-01	2.115219e-01	5.207012e-03	1.646744e-01	6.965652e-02
4             	2.069292e-01	1.161439e-01	2.978455e-03	8.883446e-02	4.532432e-02
5             	1.312614e-01	3.687574e-02	1.357349e-03	4.162512e-02	4.513476e-02
6             	1.066219e-01	8.740043e-02	9.513686e-04	7.626847e-02	3.464729e-02
7             	7.037552e-02	1.598211e-02	8.849706e-04	7.610102e-03	2.853638e-02
8             	5.800416e-02	7.487393e-02	8.051261e-04	1.078591e-02	2.289325e-02
9             	4.774017e-02	3.938957e-02	7.549983e-04	8.424078e-03	1.939435e-02
10            	4.013907e-02	1.966027e-02	7.131992e-04	8.546886e-03	1.692479e-02
11            	3.331906e-02	1.698044e-02	6.632597e-04	9.349070e-03	1.513514e-02
12            	2.837063e-02	1.501745e-02	5.890671e-04	1.001650e-02	1.370356e-02
13            	2.467981e-02	1.290435e-02	4.898902e-04	1.007648e-02	1.253705e-02
14            	2.187135e-02	1.143182e-02	4.117227e-04	1.012995e-02	1.156378e-02
15            	1.967783e-02	1.047221e-02	3.545512e-04	1.041356e-02	1.066020e-02
16            	1.793938e-02	9.939285e-03	3.172802e-04	1.138142e-02	9.849769e-03
17            	1.657268e-02	9.678479e-03	2.908262e-04	1.328012e-02	9.149815e-03
18            	1.551335e-02	9.620976e-03	2.711956e-04	1.571149e-02	8.537344e-03
19            	1.469747e-02	9.594538e-03	2.553558e-04	1.702682e-02	7.994832e-03
20            	1.407611e-02	9.539826e-03	2.424739e-04	1.590688e-02	7.527423e-03
21            	1.361042e-02	9.390497e-03	2.316725e-04	1.424560e-02	7.112866e-03
22            	1.326580e-02	9.260456e-03	2.223275e-04	1.295089e-02	6.737121e-03
23            	1.301260e-02	9.049548e-03	2.140323e-04	1.195015e-02	6.396964e-03
24            	1.282386e-02	8.917550e-03	2.066140e-04	1.120771e-02	6.080086e-03
25            	1.267967e-02	8.658200e-03	1.995673e-04	1.056725e-02	5.791117e-03
26            	1.255569e-02	8.550985e-03	1.933714e-04	1.010756e-02	5.517141e-03
27            	1.244902e-02	8.252211e-03	1.878068e-04	9.643744e-03	5.268082e-03
28            	1.234196e-02	8.164012e-03	1.826112e-04	9.322675e-03	5.029246e-03
29            	1.224100e-02	7.855220e-03	1.778668e-04	8.944693e-03	4.812351e-03
30            	1.213118e-02	7.806573e-03	1.735495e-04	8.708958e-03	4.602932e-03
31            	1.202650e-02	7.467510e-03	1.695857e-04	8.374250e-03	4.414457e-03
32            	1.190911e-02	7.500873e-03	1.658305e-04	8.206491e-03	4.231581e-03
33            	1.179215e-02	7.084521e-03	1.624752e-04	7.870397e-03	4.067809e-03
34            	1.166066e-02	7.225441e-03	1.590597e-04	7.764049e-03	3.905691e-03
35            	1.152200e-02	6.675321e-03	1.556353e-04	7.368955e-03	3.760797e-03
36            	1.137497e-02	6.920204e-03	1.520511e-04	7.299560e-03	3.616503e-03
37            	1.122742e-02	6.218497e-03	1.484200e-04	6.847757e-03	3.487898e-03
38            	1.108806e-02	6.613203e-03	1.446918e-04	6.859076e-03	3.359221e-03
39            	1.095900e-02	5.740015e-03	1.413787e-04	6.368928e-03	3.247095e-03
40            	1.084834e-02	6.404716e-03	1.381792e-04	6.534202e-03	3.133101e-03
41            	1.074815e-02	5.264352e-03	1.354135e-04	5.968144e-03	3.035635e-03
42            	1.066757e-02	6.294272e-03	1.322581e-04	6.314357e-03	2.933243e-03
43            	1.059811e-02	4.784415e-03	1.299055e-04	5.607171e-03	2.848479e-03
44            	1.057000e-02	6.273795e-03	1.266756e-04	6.153909e-03	2.759642e-03
45            	1.058141e-02	4.234224e-03	1.242407e-04	5.178220e-03	2.689882e-03
46            	1.066448e-02	6.289158e-03	1.211276e-04	6.011971e-03	2.619792e-03
47            	1.077274e-02	3.606275e-03	1.189747e-04	4.713692e-03	2.562497e-03
48            	1.098727e-02	6.289646e-03	1.161434e-04	5.967731e-03	2.511662e-03
49            	1.120393e-02	2.953234e-03	1.143642e-04	4.220328e-03	2.464872e-03
50            	1.155105e-02	5.918164e-03	1.117264e-04	5.977792e-03	2.429668e-03
51            	1.182132e-02	2.402334e-03	1.101873e-04	3.696063e-03	2.384895e-03
52            	1.224941e-02	5.086911e-03	1.077229e-04	5.945181e-03	2.357955e-03
53            	1.256841e-02	1.961691e-03	1.068546e-04	3.209704e-03	2.324274e-03
54            	1.311742e-02	3.972674e-03	1.044487e-04	5.775147e-03	2.308719e-03
55            	1.339646e-02	1.615978e-03	1.039467e-04	2.783652e-03	2.278383e-03
56            	1.395322e-02	3.038963e-03	1.016572e-04	5.368409e-03	2.266861e-03
57            	1.408368e-02	1.386168e-03	1.015283e-04	2.486954e-03	2.230563e-03
58            	1.459618e-02	2.482202e-03	9.940852e-05	4.812096e-03	2.214548e-03
