# Residuals   
# Time        	p             	Ux            	Uy            	Uz            	h             
1             	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
2             	1.000000e+00	3.867576e-01	1.043107e-02	3.975321e-01	1.656737e-01
3             	3.916349e-01	1.889196e-01	5.046750e-03	1.363879e-01	9.637071e-02
4             	2.645055e-01	5.922675e-02	3.809158e-03	1.206719e-01	7.574932e-02
5             	1.806933e-01	7.925482e-02	3.168803e-03	8.805500e-02	6.545326e-02
6             	1.386945e-01	4.473648e-02	3.085683e-03	4.709059e-02	5.734415e-02
7             	9.768219e-02	4.640314e-02	2.946158e-03	6.209676e-02	4.929305e-02
8             	7.800912e-02	3.769982e-02	3.180218e-03	6.327515e-02	4.379796e-02
9             	6.143902e-02	4.127987e-02	3.278659e-03	6.644936e-02	3.941482e-02
10            	5.809056e-02	5.869316e-02	3.440034e-03	6.267564e-02	3.542825e-02
11            	5.450629e-02	6.522034e-02	3.576327e-03	5.697167e-02	3.265937e-02
12            	5.153641e-02	6.459265e-02	3.719795e-03	5.416115e-02	3.044327e-02
13            	4.808384e-02	6.015083e-02	3.858135e-03	5.316250e-02	2.857038e-02
14            	4.447232e-02	5.641058e-02	3.974143e-03	5.310021e-02	2.692600e-02
15            	4.163573e-02	5.322081e-02	4.088412e-03	5.303633e-02	2.541768e-02
16            	3.956208e-02	5.065454e-02	4.198974e-03	5.278846e-02	2.416098e-02
17            	3.805287e-02	4.866145e-02	4.303366e-03	5.241533e-02	2.304988e-02
18            	3.693271e-02	4.713256e-02	4.410553e-03	5.198791e-02	2.201954e-02
19            	3.615357e-02	4.595832e-02	4.520121e-03	5.155268e-02	2.106140e-02
20            	3.580319e-02	4.511946e-02	4.643960e-03	5.118600e-02	2.019723e-02
21            	3.570934e-02	4.450649e-02	4.774421e-03	5.081348e-02	1.942824e-02
22            	3.573423e-02	4.395071e-02	4.895860e-03	5.024197e-02	1.872607e-02
23            	3.578111e-02	4.346239e-02	5.007081e-03	4.951886e-02	1.808658e-02
24            	3.573255e-02	4.290287e-02	5.106578e-03	4.862668e-02	1.750058e-02
25            	3.553606e-02	4.237507e-02	5.204126e-03	4.772640e-02	1.696172e-02
26            	3.516964e-02	4.170636e-02	5.287877e-03	4.669804e-02	1.646183e-02
27            	3.464558e-02	4.099509e-02	5.363851e-03	4.562826e-02	1.599481e-02
28            	3.396633e-02	4.027959e-02	5.429557e-03	4.456948e-02	1.556092e-02
29            	3.318120e-02	3.954187e-02	5.481511e-03	4.353505e-02	1.515739e-02
30            	3.235292e-02	3.876132e-02	5.520296e-03	4.250673e-02	1.477719e-02
31            	3.148775e-02	3.792828e-02	5.544648e-03	4.149156e-02	1.441671e-02
32            	3.055091e-02	3.710124e-02	5.559094e-03	4.042095e-02	1.407237e-02
33            	2.959793e-02	3.625122e-02	5.560576e-03	3.926960e-02	1.374200e-02
34            	2.866621e-02	3.538293e-02	5.548498e-03	3.806664e-02	1.342700e-02
35            	2.771356e-02	3.445688e-02	5.525457e-03	3.682054e-02	1.312318e-02
36            	2.677078e-02	3.350545e-02	5.497743e-03	3.560833e-02	1.282930e-02
37            	2.579017e-02	3.253229e-02	5.455926e-03	3.437717e-02	1.254398e-02
38            	2.482062e-02	3.156388e-02	5.406365e-03	3.314563e-02	1.226630e-02
39            	2.384691e-02	3.059528e-02	5.347334e-03	3.196880e-02	1.199468e-02
40            	2.282963e-02	2.962772e-02	5.284290e-03	3.082837e-02	1.172956e-02
41            	2.178981e-02	2.867310e-02	5.223280e-03	2.971579e-02	1.147099e-02
42            	2.076134e-02	2.770791e-02	5.152415e-03	2.863649e-02	1.121718e-02
43            	1.977742e-02	2.673523e-02	5.073526e-03	2.760247e-02	1.096761e-02
44            	1.888489e-02	2.577821e-02	4.988766e-03	2.656977e-02	1.072330e-02
45            	1.810694e-02	2.484267e-02	4.894245e-03	2.555441e-02	1.048478e-02
46            	1.744081e-02	2.390633e-02	4.788654e-03	2.454675e-02	1.025259e-02
47            	1.686386e-02	2.298145e-02	4.678688e-03	2.356550e-02	1.002625e-02
48            	1.635818e-02	2.208188e-02	4.564629e-03	2.260944e-02	9.805331e-03
49            	1.592777e-02	2.122171e-02	4.453817e-03	2.168764e-02	9.589608e-03
50            	1.556074e-02	2.039692e-02	4.347308e-03	2.079262e-02	9.379313e-03
51            	1.525300e-02	1.960160e-02	4.239764e-03	1.993283e-02	9.175084e-03
52            	1.499090e-02	1.883644e-02	4.132401e-03	1.909107e-02	8.977641e-03
53            	1.476071e-02	1.807912e-02	4.020944e-03	1.828022e-02	8.784524e-03
54            	1.455481e-02	1.734051e-02	3.901470e-03	1.748555e-02	8.593895e-03
55            	1.437167e-02	1.661623e-02	3.781954e-03	1.671439e-02	8.407339e-03
56            	1.420611e-02	1.590028e-02	3.657159e-03	1.595483e-02	8.225913e-03
57            	1.405639e-02	1.520594e-02	3.530683e-03	1.521790e-02	8.049380e-03
58            	1.390900e-02	1.452986e-02	3.403489e-03	1.449602e-02	7.878096e-03
59            	1.377013e-02	1.382614e-02	3.264372e-03	1.374957e-02	7.711111e-03
60            	1.362969e-02	1.315623e-02	3.131901e-03	1.304707e-02	7.548113e-03
61            	1.349128e-02	1.251389e-02	2.998859e-03	1.236636e-02	7.389020e-03
62            	1.334693e-02	1.188432e-02	2.867035e-03	1.170353e-02	7.233715e-03
63            	1.319113e-02	1.124999e-02	2.732839e-03	1.104799e-02	7.082644e-03
64            	1.299910e-02	1.060174e-02	2.592446e-03	1.038790e-02	6.935016e-03
65            	1.274764e-02	9.901559e-03	2.435888e-03	9.702705e-03	6.790589e-03
66            	1.248833e-02	9.166925e-03	2.269153e-03	9.018644e-03	6.649870e-03
67            	1.215151e-02	8.427266e-03	2.096635e-03	8.305933e-03	6.512962e-03
68            	1.179167e-02	7.684955e-03	1.929413e-03	7.563378e-03	6.379711e-03
69            	1.140979e-02	6.956412e-03	1.770161e-03	6.854063e-03	6.249668e-03
70            	1.099591e-02	6.265569e-03	1.618963e-03	6.181790e-03	6.122909e-03
71            	1.059398e-02	5.630711e-03	1.476768e-03	5.553005e-03	5.999076e-03
72            	1.018554e-02	5.032312e-03	1.341687e-03	4.959721e-03	5.878180e-03
73            	9.720979e-03	4.462920e-03	1.211763e-03	4.417195e-03	5.759930e-03
74            	9.324674e-03	3.981158e-03	1.095660e-03	3.938604e-03	5.644405e-03
75            	8.977679e-03	3.610178e-03	1.005039e-03	3.556974e-03	5.531657e-03
76            	8.658297e-03	3.297827e-03	9.263550e-04	3.238710e-03	5.421356e-03
77            	8.366040e-03	3.028908e-03	8.590210e-04	2.971894e-03	5.313565e-03
78            	8.107945e-03	2.804065e-03	8.008230e-04	2.744178e-03	5.208104e-03
79            	7.870508e-03	2.603291e-03	7.477891e-04	2.545376e-03	5.104789e-03
80            	7.641566e-03	2.421915e-03	6.981949e-04	2.369392e-03	5.003714e-03
