# Region      : all 
# Cells       : 23667
# Volume      : 1.502731e-05
# Time        	max(U)	max(p)
17            	(6.684953e-01 4.130763e-01 6.010353e-01)	8.560567e+06
34            	(4.893262e-02 5.204504e-02 1.675770e-01)	9.266814e+06
51            	(7.264457e-02 1.245849e-01 6.300382e-01)	2.000000e+07
68            	(2.545943e+00 2.875744e+00 1.706535e+01)	2.000000e+07
85            	(3.590046e+01 4.160534e+01 1.105212e+02)	2.000000e+07
102           	(4.146181e+01 3.934098e+01 1.577495e+02)	2.000000e+07
119           	(3.826256e+01 4.227375e+01 1.057281e+02)	2.000000e+07
136           	(4.220777e+01 3.908064e+01 1.584062e+02)	2.000000e+07
153           	(3.837398e+01 4.227813e+01 1.060828e+02)	2.000000e+07
170           	(4.217162e+01 3.909326e+01 1.585041e+02)	2.000000e+07
187           	(3.836024e+01 4.223683e+01 1.069464e+02)	2.000000e+07
204           	(4.226744e+01 3.904128e+01 1.582353e+02)	2.000000e+07
221           	(3.835888e+01 4.232214e+01 1.051281e+02)	2.000000e+07
238           	(4.219575e+01 3.914243e+01 1.585289e+02)	2.000000e+07
255           	(3.842424e+01 4.225480e+01 1.074607e+02)	2.000000e+07
272           	(4.237447e+01 3.907815e+01 1.581529e+02)	2.000000e+07
289           	(3.832400e+01 4.231689e+01 1.055373e+02)	2.000000e+07
306           	(4.218645e+01 3.913986e+01 1.583729e+02)	2.000000e+07
323           	(3.838439e+01 4.224004e+01 1.079024e+02)	2.000000e+07
340           	(4.238889e+01 3.909238e+01 1.580147e+02)	2.000000e+07
357           	(3.830323e+01 4.231037e+01 1.060990e+02)	2.000000e+07
374           	(4.221472e+01 3.915603e+01 1.581714e+02)	2.000000e+07
391           	(3.830721e+01 4.221196e+01 1.081956e+02)	2.000000e+07
408           	(4.237422e+01 3.910094e+01 1.579629e+02)	2.000000e+07
