# Residuals   
# Time        	p             	Ux            	Uy            	Uz            	h             
1             	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
2             	9.663664e-01	6.517979e-01	6.514944e-01	8.049080e-01	2.413373e-01
3             	1.724783e-01	4.607713e-01	4.597812e-01	5.870348e-01	1.403128e-01
4             	1.047812e-01	2.701106e-01	2.698418e-01	3.087313e-01	1.053349e-01
5             	7.930006e-02	2.052854e-01	1.998433e-01	2.420800e-01	8.880008e-02
6             	7.244707e-02	1.669541e-01	1.538427e-01	2.717025e-01	3.464450e-02
7             	7.270541e-02	1.453198e-01	1.215288e-01	1.745402e-01	2.848605e-02
8             	7.379420e-02	1.215004e-01	1.063831e-01	7.992481e-02	3.042475e-02
9             	7.450260e-02	1.037311e-01	9.574592e-02	5.413215e-02	2.980595e-02
10            	7.538402e-02	9.258326e-02	7.705964e-02	4.708724e-02	2.518350e-02
11            	7.715258e-02	7.932969e-02	5.385121e-02	4.889815e-02	2.003553e-02
12            	7.921089e-02	7.372335e-02	4.318078e-02	5.491577e-02	1.582974e-02
13            	8.114795e-02	6.931886e-02	3.985429e-02	6.372717e-02	1.408456e-02
14            	8.307209e-02	7.005146e-02	4.183504e-02	7.390587e-02	1.337169e-02
15            	8.523517e-02	7.574921e-02	4.976668e-02	8.479595e-02	1.376530e-02
16            	8.771996e-02	7.993752e-02	6.385446e-02	9.528483e-02	1.547834e-02
17            	9.329785e-02	8.145126e-02	7.725963e-02	1.059021e-01	2.105055e-02
18            	1.044379e-01	8.076467e-02	8.435420e-02	1.094360e-01	3.282921e-02
19            	1.223531e-01	7.884808e-02	8.509423e-02	1.079567e-01	5.224035e-02
20            	1.428718e-01	7.602353e-02	8.317430e-02	1.049985e-01	7.335727e-02
21            	1.535940e-01	7.313238e-02	7.998382e-02	1.026697e-01	8.257563e-02
22            	1.653504e-01	7.087109e-02	7.692822e-02	1.009226e-01	8.000402e-02
23            	1.696717e-01	6.920452e-02	7.495651e-02	9.981116e-02	6.994353e-02
24            	1.605954e-01	6.712349e-02	7.276636e-02	9.864113e-02	6.039594e-02
25            	1.484568e-01	6.526880e-02	7.053419e-02	9.727288e-02	5.336559e-02
26            	1.401362e-01	6.337661e-02	6.856461e-02	9.546312e-02	4.684073e-02
27            	1.393135e-01	6.164804e-02	6.676953e-02	9.355527e-02	4.272960e-02
28            	1.393889e-01	6.009165e-02	6.517436e-02	9.177240e-02	3.974358e-02
29            	1.399541e-01	5.858783e-02	6.364084e-02	8.985280e-02	3.753833e-02
30            	1.404157e-01	5.714289e-02	6.215986e-02	8.780992e-02	3.586429e-02
31            	1.402315e-01	5.567820e-02	6.053158e-02	8.548355e-02	3.427822e-02
32            	1.400488e-01	5.416968e-02	5.886657e-02	8.314327e-02	3.251806e-02
33            	1.409110e-01	5.278575e-02	5.718283e-02	8.070900e-02	3.125665e-02
34            	1.404355e-01	5.122168e-02	5.539117e-02	7.792510e-02	2.984956e-02
35            	1.405334e-01	4.981405e-02	5.363150e-02	7.538592e-02	2.825415e-02
36            	1.368388e-01	4.818775e-02	5.178010e-02	7.257405e-02	2.681692e-02
37            	1.344231e-01	4.674427e-02	4.996179e-02	7.005327e-02	2.544279e-02
38            	1.295241e-01	4.509195e-02	4.810483e-02	6.740063e-02	2.420108e-02
39            	1.265959e-01	4.374026e-02	4.641107e-02	6.504335e-02	2.310881e-02
40            	1.218747e-01	4.215921e-02	4.471782e-02	6.262277e-02	2.205508e-02
41            	1.195269e-01	4.097912e-02	4.326620e-02	6.050568e-02	2.101790e-02
42            	1.154798e-01	3.955314e-02	4.177460e-02	5.833686e-02	2.009218e-02
43            	1.140440e-01	3.859804e-02	4.058189e-02	5.647572e-02	1.920542e-02
44            	1.105642e-01	3.732111e-02	3.927277e-02	5.446401e-02	1.840259e-02
